ScenarioId,Category,Difficulty,ServSafeVersion,Scenario,Choice1,Choice2,Choice3,CorrectChoice,Explanation
1,Time & Temperature,2,8,A food handler checks the temperature of a pot of soup and finds it is at 120°F after reheating. What should they do?,Serve it immediately as it is hot enough,Continue heating until it reaches 165°F,Add cold water to cool it down and reheat,2,Reheated food must reach an internal temperature of 165°F within 2 hours to be safe for serving. 120°F is still within the temperature danger zone (41°F–135°F).
2,Time & Temperature,1,8,A delivery of fresh chicken arrives at your back door. You check the temperature and it reads 50°F. What is the correct action?,Accept the delivery and refrigerate immediately,Reject the delivery and send it back,Accept it and use it within 24 hours,2,Fresh poultry must be received at 41°F or below. A temperature of 50°F indicates the cold chain was broken and the product must be rejected.
3,Time & Temperature,3,8,A pan of lasagna has been sitting in the temperature danger zone for 3 hours and 45 minutes. A customer orders it. What do you do?,Serve it — it hasn't hit 4 hours yet,Reheat it to 165°F and then serve,Discard it immediately,3,"Most health codes require discarding food that has been in the danger zone for close to or over 4 hours. When in doubt, discard it."
4,Cross-Contamination,1,8,A food handler finishes cutting raw chicken on a cutting board and immediately begins slicing tomatoes on the same board. What is the problem?,There is no problem if the board looks clean,This can cause cross-contamination and make customers sick,The tomatoes should be cut before the chicken,2,Raw poultry carries pathogens like Salmonella. Using the same cutting board without washing and sanitizing transfers those pathogens to ready-to-eat foods like tomatoes.
5,Cross-Contamination,2,8,A food handler is storing food in the walk-in cooler. Where should raw ground beef be placed relative to ready-to-eat foods?,On the shelf above ready-to-eat foods,On the shelf below ready-to-eat foods,On the same shelf separated by a divider,2,Raw ground beef must always be stored below ready-to-eat foods to prevent drip contamination. Storage order is based on minimum internal cooking temperature.
6,Cross-Contamination,3,8,A food handler with a small cut on their hand is preparing salads. They have washed their hands. What else must they do?,Nothing — washed hands are sufficient,Cover the cut with a bandage only,Cover the cut with a bandage and wear a single-use glove over it,3,A bandage alone is not sufficient. A single-use glove must be worn over the bandage to prevent the bandage from falling into food and to create a barrier against pathogens.
7,Personal Hygiene,1,8,A food handler returns from a restroom break. What is the first thing they should do before returning to food prep?,Put on gloves,Wash their hands thoroughly,Sanitize the prep surface,2,Handwashing is always the first step after using the restroom. Gloves do not replace handwashing — hands must be clean before gloves are applied.
8,Personal Hygiene,2,8,A food handler feels sick with vomiting and diarrhea but shows up for their shift because they need the money. What should the manager do?,Allow them to work if they wear gloves,Restrict them to non-food-contact duties,Exclude them from the operation entirely,3,Vomiting and diarrhea are symptoms that require immediate exclusion from the food service operation. These symptoms can indicate a highly contagious illness that can contaminate food.
9,Personal Hygiene,2,8,A food handler is about to handle ready-to-eat food. They are wearing jewelry on their hands and wrists. What should they do?,Remove all hand and wrist jewelry before handling food,Keep jewelry as long as hands are washed,Cover jewelry with gloves,1,Hand and wrist jewelry must be removed before handling food. Jewelry can harbor bacteria and can fall into food. A plain band ring is the only exception in some jurisdictions.
10,Receiving & Storage,1,8,Canned goods arrive at your facility with several cans that are swollen and bulging. What should you do?,Accept them and use immediately,Reject the entire delivery,Accept only the non-swollen cans,2,Swollen or bulging cans are a sign of Clostridium botulinum activity. The entire delivery should be rejected as compromised cans can contaminate surrounding product.
11,Receiving & Storage,2,8,A food handler is dating and rotating stock in the dry storage area. Which method should they use?,LIFO — Last In First Out,FIFO — First In First Out,Use items with the closest expiration date last,2,FIFO (First In First Out) ensures that older product is used before newer product
12,Receiving & Storage,3,8,Fresh fish is delivered to your kitchen. What is the correct receiving temperature and what should you check beyond temperature?,41°F or below; check for firm flesh and a mild ocean smell,45°F or below; check that eyes are clear,38°F or below; check the packaging only,1,Fresh fish must arrive at 41°F or below. Quality indicators include firm flesh
13,Food Preparation,1,8,A food handler is thawing a large frozen turkey. Which method is NOT acceptable?,Thawing in the refrigerator at 41°F or below,Thawing on the counter at room temperature,Thawing under cold running water,2,Thawing at room temperature allows the outer layers of food to enter the temperature danger zone while the inside is still frozen. Acceptable methods are refrigerator
14,Food Preparation,2,8,A cook is preparing a marinade that was used with raw chicken and wants to use it as a sauce. What must happen first?,Use it as-is since it was refrigerated,Bring it to a boil for at least 1 minute,Discard it and make fresh sauce,2,A marinade that contacted raw meat must be brought to a full boil before being used as a sauce to kill any pathogens transferred from the raw chicken.
15,Cleaning & Sanitizing,1,8,A food handler wipes down a prep table with a cloth and moves on to the next task. What step did they skip?,They should have used a stronger cleaner,They should have sanitized the surface after cleaning,They should have rinsed the surface with hot water,2,Cleaning removes dirt and food particles but does not kill pathogens. Sanitizing must follow cleaning on all food contact surfaces to reduce pathogens to safe levels.
16,Cleaning & Sanitizing,2,8,A dishwasher is running the high-temperature sanitizing machine. What is the minimum final rinse temperature required?,145°F,165°F,180°F,3,High-temperature dishwashing machines must reach a final rinse temperature of at least 180°F to properly sanitize dishes and equipment.
17,Facility & Equipment,2,8,A manager notices a handwashing sink in the kitchen has been stocked with cleaning supplies stored inside it. What should they do?,Leave it — the sink is still accessible if needed,Remove the supplies immediately and keep the sink clear at all times,Move the supplies to one side of the sink,2,Handwashing sinks must always be fully accessible and used only for handwashing. Storing anything in or blocking a handwashing sink is a serious violation.
18,Food Safety Management,1,8,A food handler notices a small mouse dropping near the dry storage shelves. What is the correct response?,Set a trap and monitor the situation,Clean it up and tell the manager immediately,Ignore it if it is just one dropping,2,Any sign of pests must be reported to the manager immediately. A single dropping indicates an active infestation. The manager must contact a licensed pest control operator.
19,Food Safety Management,2,8,A manager is setting up a HACCP plan for their operation. What does HACCP stand for and what is its primary purpose?,Health and Cleanliness Control Plan — to train staff,Hazard Analysis Critical Control Points — to identify and control food safety hazards,Hygiene and Contamination Check Process — to pass inspections,2,HACCP stands for Hazard Analysis Critical Control Points. It is a systematic preventive approach to food safety that identifies physical
20,Food Safety Management,3,8,A health inspector arrives during a busy lunch rush. A nervous manager asks the inspector to come back later. What should the manager do instead?,Ask the inspector to wait until after the rush,Cooperate fully and allow immediate access,Call the owner before allowing entry,2,Health inspectors must be granted immediate access during operating hours. Delaying or refusing entry is a violation and can result in fines or closure. Cooperating professionally is always the correct response.
21,Facility & Equipment,2,9,"Oh no!! Water is coming up through the drains in the floor and there is an awful smell, what should you do?","Luckily we just got some fans, we can keep the smell away from the guests",Call the regulatory authority and shut down,have everyone start mopping,2,"Sewage backing up is a critical health issue, you need to close down and call your local regulatory agency"
22,Food Safety Management,2,9,"Thats not good you just ran out of 20"" inch tortillas and today is Cinco De Mayo, what should you do?",Politely tell your guests that you are out of tortillas,"Close the store, how are we supposed to stay open without the tortillas","good thing there is a grocery store next door, send someone over to buy the tortillas",1,"Running out of product on this busy day is stressful, be we only get product from authorized suppliers, even if the grocery store was a major chain, you cannot get product from them, what if that product got recalled?"
23,Food Safety Management,3,9,"An employee Just pulled a roast from the oven and 3 minutes later took the temperature and it was 147 degrees, did the employee do anything wrong?","No, the minimum temperature for a cooked roast is 145 degrees",A large cooked roast needs to be cooked to 155 degrees,The temperature was OK but the employee beeded to wait 4 minutes before taking the temperature,3,"The 4 minutes is your key here, it must hold the 145 degree temperature for four minutes"
